STATE,NAME,REGION,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,VMT 2015,VMT 2016,VMT 2017,VMT 2018,VMT 2019,VMT 2020,VMT 2021,Crashes2015,Crashes2016,Crashes2017,Crashes2018,Crashes2019,Crashes2020,Crashes2021,Crashbypop2015,Crashbypop2016,Crashbypop2017,Crashbypop2018,Crashbypop2019,Crashbypop2020,Crashbypop2021,CrashbyMVMT2015,CrashbyMVMT2016,CrashbyMVMT2017,CrashbyMVMT2018,CrashbyMVMT2019,CrashbyMVMT2020,CrashbyMVMT2021
37,North Carolina,3,10031646,10154788,10268233,10381615,10488084,10449445,10565885,10698973,111878.57,116748.68,119176.37,121127.25,122474.65,106342.37,117734.43,1275,1348,1306,1321,1358,1415,1535,7867.96,7533.23,7862.35,7858.91,7723.18,7384.77,6883.31,87.75,86.61,91.25,91.69,90.19,75.15,76.70
38,North Dakota,2,754066,754434,754942,758080,762062,779518,777934,779261,10036.22,9739.21,9716.84,9855.66,9826.07,8767.60,9255.67,111,102,106,95,91,96,85,6793.39,7396.41,7122.09,7979.79,8374.31,8119.98,9152.16,90.42,95.48,91.67,103.74,107.98,91.33,108.89
39,Ohio,2,11617527,11634370,11659650,11676341,11689100,11797517,11764342,11756058,113672.51,118607.62,119597.97,114474.44,114693.59,103114.94,112923.02,1029,1053,1094,996,1039,1154,1242,11290.11,11048.78,10657.82,11723.23,11250.34,10223.15,9472.10,110.47,112.64,109.32,114.93,110.39,89.35,90.92
40,Oklahoma,3,3909500,3926331,3931316,3940235,3956971,3964912,3991225,4019800,47713.00,49013.28,49402.26,45433.01,44648.24,42000.18,44759.76,590,628,613,603,584,600,681,6626.27,6252.12,6413.24,6534.39,6775.64,6608.19,5860.83,80.87,78.05,80.59,75.34,76.45,70.00,65.73
41,Oregon,4,4015792,4089976,4143625,4181886,4217737,4244795,4256301,4240137,35998.50,36719.19,36752.88,36848.42,35808.47,32297.98,36841.98,411,448,403,446,455,460,552,9770.78,9129.41,10281.95,9376.43,9269.75,9227.82,7710.69,87.59,81.96,91.20,82.62,78.70,70.21,66.74
42,Pennsylvania,1,12784826,12782275,12787641,12800922,12801989,12994440,13012059,12972008,100945.06,101362.49,101614.05,102109.45,102863.51,87982.49,102686.04,1102,1088,1083,1103,990,1060,1153,11601.48,11748.41,11807.61,11605.55,12931.30,12258.91,11285.39,91.60,93.16,93.83,92.57,103.90,83.00,89.06
44,Rhode Island,1,1056065,1056770,1055673,1058287,1059361,1096345,1096985,1093734,7832.56,7927.07,8000.98,8008.58,7580.83,6864.09,7526.31,41,48,77,56,53,66,61,25757.68,22016.04,13710.04,18897.98,19987.94,16611.29,17983.36,191.04,165.15,103.91,143.01,143.03,104.00,123.38
45,South Carolina,3,4891938,4957968,5021268,5084156,5148714,5131848,5193266,5282634,51726.05,54552.64,55497.24,56800.68,57939.40,53972.05,57491.95,911,941,925,969,927,964,1112,5369.86,5268.83,5428.40,5246.81,5554.17,5323.49,4670.20,56.78,57.97,60.00,58.62,62.50,55.99,51.70
46,South Dakota,2,853988,862996,872868,878698,884659,887799,896164,909824,9324.35,9506.53,9642.56,9719.41,9922.40,9742.51,9993.91,116,103,111,110,88,132,131,7361.97,8378.60,7863.68,7988.16,10052.94,6725.75,6840.95,80.38,92.30,86.87,88.36,112.75,73.81,76.29
47,Tennessee,3,6591170,6646010,6708799,6771631,6829174,6925619,6968351,7051339,76670.32,76883.75,82253.26,81321.49,82891.77,76392.47,82595.59,888,962,942,973,1041,1119,1229,7422.49,6908.53,7121.87,6959.54,6560.21,6189.11,5669.94,86.34,79.92,87.32,83.58,79.63,68.27,67.21
48,Texas,3,27470056,27914410,28295273,28628666,28995881,29232474,29558864,30029572,258122.31,271262.84,272980.91,282037.27,288227.24,260581.96,285027.66,3190,3427,3352,3311,3296,3522,4068,8611.30,8145.44,8441.31,8646.53,8797.29,8299.96,7266.19,80.92,79.15,81.44,85.18,87.45,73.99,70.07
49,Utah,4,2981835,3041868,3101042,3153550,3205958,3283785,3339113,3380800,29603.66,31448.90,31475.03,32069.29,32910.68,30251.18,33637.95,258,259,247,237,225,256,293,11557.50,11744.66,12554.83,13306.12,14248.70,12827.29,11396.29,114.74,121.42,127.43,135.31,146.27,118.17,114.81
50,Vermont,1,625216,623657,624344,624358,623989,642893,646972,647064,7313.84,7381.89,7424.42,7346.35,7345.63,6006.98,6625.05,50,57,63,60,44,58,69,12504.32,10941.35,9910.22,10405.97,14181.57,11084.36,9376.41,146.28,129.51,117.85,122.44,166.95,103.57,96.02
51,Virginia,3,8361808,8410106,8463587,8501286,8535519,8636471,8657365,8683619,82624.53,84462.67,85262.94,85336.10,85432.48,76110.27,80102.47,712,722,783,778,774,796,906,11744.11,11648.35,10809.18,10927.10,11027.80,10849.84,9555.59,116.05,116.98,108.89,109.69,110.38,95.62,88.41
53,Washington,4,7163657,7294771,7423362,7523869,7614893,7724031,7740745,7785786,59652.50,61017.81,61419.92,62366.66,62529.64,53658.24,57796.60,499,504,534,490,513,539,603,14356.03,14473.75,13901.43,15354.83,14843.85,14330.30,12837.06,119.54,121.07,115.02,127.28,121.89,99.55,95.85
54,West Virginia,3,1842050,1831023,1817004,1804291,1792147,1791420,1785526,1775156,19826.64,19539.44,19072.34,19447.32,19076.56,16054.14,16079.27,246,250,280,265,247,249,257,7488.01,7324.09,6489.30,6808.65,7255.66,7194.46,6947.57,80.60,78.16,68.12,73.39,77.23,64.47,62.57
55,Wisconsin,2,5760940,5772628,5790186,5807406,5822434,5896271,5880101,5892539,62073.37,64046.41,65323.71,65885.43,66347.62,57599.94,64983.28,523,544,557,531,527,559,572,11015.18,10611.45,10395.31,10936.73,11048.26,10547.89,10279.90,118.69,117.73,117.28,124.08,125.90,103.04,113.61
56,Wyoming,4,585613,584215,578931,577601,578759,577605,579483,581381,9597.04,9322.54,9784.67,10438.44,10207.61,9800.32,11096.52,129,100,105,100,120,114,102,4539.64,5842.15,5513.63,5776.01,4822.99,5066.71,5681.21,74.40,93.23,93.19,104.38,85.06,85.97,108.79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
